Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C6",C_0805,3,100nF,C28233
"C10, C19, C20, C5, C7",C_0805,5,10uF,C15850
C11,C_0402,1,100nF,C1525
"C12, C15, C16, C17, C18",C_0805,5,4.7uF,C1779
C13,C_0805,1,220nF,C5378
C14,C_0603,1,10pF,C1634
C3,C_1206,1,22uF,C5672
C8,C_1206,1,47uF,C96123
C9,C_0805,1,22uF,C45783
D1,D_SMA,1,M7,C95872
D2,D_0805,1,Red,C84256
D3,D_SMA,1,SS14,C7420316
D4,D_0805,1,Green,C2297
D5,D_SOD-123,1,B5819W,C64885
"J1, J3",PinHeader_1x01_P1.00mm_Vertical,2,Conn_01x01,
J2,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
Q1,Q_SOT-23,1,AO3401A,C15127
"R1, R6",R_0805,2,510Ω,C17734
R10,R_0805,1,120kΩ,C17436
"R11, R13, R5",R_0805,3,5.1kΩ,C27834
R12,R_0805,1,1.2kΩ,C17379
"R14, R15, R22, R4, R7",R_0805,5,100kΩ,C149504
"R16, R19, R23, R3",R_0805,4,1MΩ,C17514
R17,R_0805,1,51kΩ,C17737
"R18, R2, R20, R25, R26",R_0805,5,1kΩ,C17513
R21,R_1206,1,1.2MΩ,C22107
R24,R1206,1,RL1206FR-070R4L,C327078
R27,R_0805,1,24kΩ,C17575
R8,R_0603,1,10Ω,C22859
R9,R_0805,1,3kΩ,C17661
"SW1, SW2",SW-TH_SS12D07VG4,2,SS12D07VG6_087,C2939728
"U1, U2, U5",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,3,TL072CDT,C6961
"U10, U11, U12, U13, U16, U17, U18, U20, U21, U23, U8, U9",SMD_RH-5015,12,RH-5015,C5199798
U14,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,MT3608,C84817
U15,VREG_V62_16624-01YE,1,TPS63700DRCR,C54792
"U19, U24",IND-SMD_L5.7-W5.7_CDRH5D18NP,2,CDRH5D18NP-100NC,C113636
U25,CONN-TH_2P-P2.00_KINGHELM_KH-PH-2P-Z,1,KH-PH-2P-Z,C2898945
"U3, U6",RES-TH_RK09K1130AAU,2,RK09K1130AAU,C202373
U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,1,2N3904S,C18536
ZD1,SMF_L2.8-W1.8-LS3.7-RD,1,SL03-GS08,C490381
