Designator,Mid X,Mid Y,Rotation,Layer
C1,121.41,-119.91,270.0,top
C10,95.39,-119.25,270.0,top
C11,93.5,-119.98,270.0,top
C12,92.63,-113.35,90.0,top
C13,94.8,-111.5,90.0,top
C14,104.0,-116.37,180.0,top
C15,104.5,-107.75,0.0,top
C16,104.5,-110.0,0.0,top
C17,104.5,-112.25,0.0,top
C18,104.5,-114.5,0.0,top
C19,100.348368,-87.166498,180.0,top
C20,100.348368,-89.416498,180.0,top
C3,92.288368,-98.28,180.0,top
C4,121.42,-116.33,90.0,top
C5,123.62,-116.36,90.0,top
C6,111.04,-122.2,270.0,top
C7,108.82,-122.2,270.0,top
C8,92.298368,-95.75,180.0,top
C9,101.800902,-93.43,90.0,top
D1,112.25,-109.0,180.0,top
D2,100.378368,-82.086498,0.0,top
D3,104.902,-96.774,270.0,top
D4,100.378368,-84.536498,0.0,top
D5,84.25,-109.0,90.0,top
J1,125.76,-73.81,0.0,top
J2,85.52,-85.02,270.0,top
J3,126.13,-79.91,0.0,top
Q1,87.69,-108.95,0.0,top
R1,113.93,-94.4,90.0,top
R10,97.0,-111.48,90.0,top
R11,91.44,-83.82,0.0,top
R12,123.66,-119.91,90.0,top
R13,100.35,-74.78,90.0,top
R14,108.75,-117.84,90.0,top
R15,92.168368,-101.146498,180.0,top
R16,113.83,-79.15,180.0,top
R17,100.870902,-98.47,0.0,top
R18,87.5,-111.9,0.0,top
R19,112.5,-81.25,180.0,top
R2,106.38,-102.52,0.0,top
R20,99.1,-111.42,270.0,top
R21,101.37,-113.03,270.0,top
R22,100.75,-116.5,180.0,top
R23,112.5,-83.33,0.0,top
R24,102.857159,-79.596498,180.0,top
R25,104.588368,-91.316498,90.0,top
R26,106.638368,-91.336498,90.0,top
R27,110.89,-117.87,270.0,top
R3,100.880902,-96.4,180.0,top
R4,111.24,-114.37,180.0,top
R5,91.44,-85.89,0.0,top
R6,115.46,-82.03,90.0,top
R7,111.21,-112.19,180.0,top
R8,93.5,-117.43,270.0,top
R9,107.09,-80.5,0.0,top
SW1,85.87,-99.73,90.0,top
SW2,121.75,-68.0,0.0,top
U1,116.26,-118.71,0.0,top
U10,129.22,-93.17,90.0,top
U11,129.22,-70.69,90.0,top
U12,129.47,-104.05,90.0,top
U13,129.42,-115.39,90.0,top
U14,97.050902,-97.53,270.0,top
U15,96.925,-115.28,0.0,top
U16,129.46,-109.67,270.0,top
U17,129.22,-76.31,90.0,top
U18,129.22,-81.93,270.0,top
U19,102.5,-121.07493,90.0,top
U2,112.21,-103.14,180.0,top
U20,129.22,-87.55,270.0,top
U21,98.71,-108.27,0.0,top
U23,129.49,-98.45,270.0,top
U24,98.75,-103.17507,90.0,top
U25,87.163988,-118.031,90.0,top
U3,88.51,-72.738589,0.0,top
U4,105.428368,-85.596498,180.0,top
U5,113.297178,-88.53,270.0,top
U6,107.0,-72.738589,0.0,top
U7,115.499682,-113.300038,0.0,top
U8,118.21,-123.02,180.0,top
U9,129.22,-65.07,270.0,top
ZD1,97.75,-120.0,90.0,top
